record_id,redacted_data_json,is_pii
1,"{""customer_id"": ""CUST001"", ""phone"": ""[PHONE_98XXXXXX10]"", ""order_value"": 1299}",True
2,"{""name"": ""RXXXXX KXXXX"", ""email"": ""[EMAIL_rXXX@eXXX.com]"", ""city"": ""Mumbai""}",True
3,"{""first_name"": ""Priya"", ""product"": ""iPhone 14"", ""category"": ""Electronics""}",False
4,"{""aadhar"": ""[AADHAR_12XXXXXXXX12]"", ""transaction_type"": ""purchase""}",True
5,"{""email"": ""standalone@email.com"", ""product_id"": ""PROD123""}",False
6,"{""name"": ""AXXX SXXXX"", ""address"": ""[ADDRESS]"", ""ip_address"": ""[DEVICE_192XXXXXXX100]""}",True
7,"{""city"": ""Delhi"", ""pin_code"": ""110001"", ""product_category"": ""Fashion""}",False
8,"{""upi_id"": ""[UPI_uXXX@paytm]"", ""amount"": 500}",True
9,"{""last_name"": ""Sharma"", ""order_id"": ""ORD789456""}",False
10,"{""passport"": ""[PASSPORT_PXXXXXX7]"", ""booking_reference"": ""BK123""}",True
11,"{""device_id"": ""DEV456789"", ""app_version"": ""2.1.4""}",False
12,"{""name"": ""SXXXX PXXXX"", ""email"": ""[EMAIL_sXXX@gXXX.com]"", ""device_id"": ""[DEVICE_MOBXXX456]""}",True
13,"{""transaction_id"": ""TXN987654"", ""amount"": 2500, ""status"": ""completed""}",False
14,"{""phone"": ""[PHONE_87XXXXXX09]"", ""order_date"": ""2024-01-15""}",True
15,"{""state"": ""Maharashtra"", ""product_name"": ""Laptop Bag""}",False
16,"{""name"": ""VXXXXX RXXXX"", ""address"": ""[ADDRESS]"", ""email"": ""[EMAIL_vXXX@cXXX.com]""}",True
17,"{""first_name"": ""Anita"", ""last_name_initial"": ""K"", ""age"": 28}",False
18,"{""aadhar"": ""[AADHAR_98XXXXXXXX98]"", ""verification_status"": ""verified""}",True
19,"{""email"": ""customer@service.com"", ""query_type"": ""refund""}",False
20,"{""upi_id"": ""[UPI_9XXX@ybl]"", ""merchant"": ""Flipkart""}",True
21,"{""product_description"": ""Samsung Galaxy S23"", ""price"": 65000}",False
22,"{""name"": ""DXXXXXX AXXXXXX"", ""phone"": ""[PHONE_78XXXXXX56]"", ""email"": ""[EMAIL_dXXX@eXXX.com]""}",True
23,"{""pin_code"": ""400001"", ""delivery_date"": ""2024-02-10""}",False
24,"{""passport"": ""[PASSPORT_MXXXXXX3]"", ""travel_date"": ""2024-03-15""}",True
25,"{""customer_segment"": ""Premium"", ""loyalty_points"": 1500}",False
26,"{""name"": ""RXXX GXXXX"", ""address"": ""[ADDRESS]"", ""ip_address"": ""[DEVICE_10.XXX.50]""}",True
27,"{""order_type"": ""Express"", ""shipping_method"": ""same_day""}",False
28,"{""phone"": ""[PHONE_67XXXXXX45]"", ""sms_consent"": true}",True
29,"{""username"": ""techguru"", ""last_login"": ""2024-01-20""}",False
30,"{""aadhar"": ""[AADHAR_45XXXXXXXX45]"", ""kyc_status"": ""pending""}",True
31,"{""category"": ""Books"", ""author"": ""Chetan Bhagat""}",False
32,"{""name"": ""MXXXX JXXXX"", ""email"": ""[EMAIL_mXXX@wXXX.com]"", ""device_type"": ""Android""}",True
33,"{""session_id"": ""SESS789123"", ""duration"": ""45 minutes""}",False
34,"{""upi_id"": ""[UPI_mXXX@okaxis]"", ""payment_method"": ""UPI""}",True
35,"{""region"": ""North India"", ""warehouse_code"": ""WH001""}",False
36,"{""name"": ""AXXXX MXXXXXXX"", ""address"": ""[ADDRESS]"", ""phone"": ""[PHONE_90XXXXXX78]""}",True
37,"{""subscription_type"": ""Premium"", ""renewal_date"": ""2024-06-15""}",False
38,"{""passport"": ""[PASSPORT_LXXXXXX1]"", ""country"": ""India""}",True
39,"{""first_name"": ""Kavya"", ""gender"": ""Female"", ""age_group"": ""25-35""}",False
40,"{""aadhar"": ""[AADHAR_23XXXXXXXX23]"", ""bank_verification"": ""success""}",True
41,"{""brand"": ""Nike"", ""model"": ""Air Max"", ""size"": ""9""}",False
42,"{""name"": ""SXXXXXXXX NXXX"", ""email"": ""[EMAIL_sXXX@tXXX.com]"", ""ip_address"": ""[DEVICE_203XXXXXX.45]""}",True
43,"{""currency"": ""INR"", ""exchange_rate"": 83.25}",False
44,"{""phone"": ""[PHONE_89XXXXXX67]"", ""notification_preference"": ""SMS""}",True
45,"{""product_rating"": 4.5, ""review_count"": 150}",False
46,"{""upi_id"": ""[UPI_fXXX@ibl]"", ""family_size"": 4}",True
47,"{""zip_code"": ""560001"", ""delivery_zone"": ""Zone_A""}",False
48,"{""name"": ""PXXXX DXXXX"", ""address"": ""[ADDRESS]"", ""email"": ""[EMAIL_pXXX@eXXX.in]""}",True
49,"{""app_name"": ""Flipkart"", ""version"": ""8.21.0""}",False
50,"{""passport"": ""[PASSPORT_KXXXXXX2]"", ""issue_date"": ""2020-05-10""}",True
51,"{""last_name"": ""Iyer"", ""profession"": ""Software Engineer""}",False
52,"{""aadhar"": ""[AADHAR_34XXXXXXXX34]"", ""address_proof"": ""verified""}",True
53,"{""email"": ""support@flipkart.com"", ""ticket_id"": ""TICK456""}",False
54,"{""name"": ""RXXXX KXXXXXXX"", ""phone"": ""[PHONE_70XXXXXX89]"", ""device_id"": ""[DEVICE_ANDXXXX789]""}",True
55,"{""search_query"": ""bluetooth headphones"", ""filters"": ""price,brand""}",False
56,"{""upi_id"": ""[UPI_8XXX@paytm]"", ""auto_debit"": true}",True
57,"{""state_code"": ""MH"", ""gst_number"": ""27ABCDE1234F1Z5""}",False
58,"{""name"": ""LXXXXXX VXXXXX"", ""email"": ""[EMAIL_lXXX@cXXX.org]"", ""address"": ""[ADDRESS]""}",True
59,"{""feature_flag"": ""new_checkout"", ""enabled"": true}",False
60,"{""phone"": ""[PHONE_93XXXXXX12]"", ""otp_verification"": ""pending""}",True
61,"{""discount_code"": ""SAVE20"", ""validity"": ""2024-03-31""}",False
62,"{""passport"": ""[PASSPORT_AXXXXXX3]"", ""nationality"": ""Indian""}",True
63,"{""first_name"": ""Rohan"", ""wishlist_count"": 15}",False
64,"{""aadhar"": ""[AADHAR_56XXXXXXXX56]"", ""biometric_status"": ""matched""}",True
65,"{""payment_gateway"": ""Razorpay"", ""transaction_fee"": 25}",False
66,"{""name"": ""NXXXX BXXXXX"", ""address"": ""[ADDRESS]"", ""ip_address"": ""[DEVICE_122XXXXXXXX178]""}",True
67,"{""inventory_id"": ""INV789"", ""stock_level"": 50}",False
68,"{""upi_id"": ""[UPI_bXXX@axisbank]"", ""merchant_category"": ""retail""}",True
69,"{""city"": ""Hyderabad"", ""weather"": ""partly_cloudy""}",False
70,"{""phone"": ""[PHONE_84XXXXXX23]"", ""call_preference"": ""evening""}",True
71,"{""coupon_code"": ""FIRST10"", ""usage_count"": 1}",False
72,"{""name"": ""KXXXXXX SXXXXXXXXXX"", ""email"": ""[EMAIL_kXXX@wXXX.com]"", ""device_type"": ""iOS""}",True
73,"{""logistics_partner"": ""BlueDart"", ""tracking_id"": ""BD123456789""}",False
74,"{""passport"": ""[PASSPORT_HXXXXXX3]"", ""expiry_date"": ""2030-12-15""}",True
75,"{""age"": 32, ""income_bracket"": ""middle_class""}",False
76,"{""aadhar"": ""[AADHAR_67XXXXXXXX67]"", ""mobile_linked"": true}",True
77,"{""return_reason"": ""size_issue"", ""refund_amount"": 899}",False
78,"{""name"": ""DXXXX SXXXXX"", ""phone"": ""[PHONE_71XXXXXX90]"", ""email"": ""[EMAIL_dXXX@pXXX.com]""}",True
79,"{""seller_id"": ""SELLER001"", ""rating"": 4.2}",False
